symbol,interval,total_return,sharpe_ratio,max_drawdown,win_rate,trades_executed,trading_volume,winning_trades,losing_trades,open_position,open_position_value,open_position_return,net_profit_loss,total_fees_paid,strategy
ETH/USD,30,-0.027623949130451363,-2.603317645799769,0.029177480757557966,0.2777777777777778,36,35303.700511013885,10,26,0.0,0.0,0.0,-276.23949130451365,233.91601369399672,apo
ETH/USD,30,-0.005699784605332389,-0.5855737135424642,0.013194163659283043,0.3333333333333333,9,8946.03204210769,3,6,0.0,0.0,0.0,-56.99784605332388,59.23190436988674,bias
ETH/USD,30,-0.11035267851394674,-8.285688803781774,0.11056932618636922,0.14673913043478262,184,173378.8808107082,27,157,0.0,0.0,0.0,-1103.5267851394674,1147.9422517416342,bos
ETH/USD,30,0.0008318005245730092,0.17040981754198734,0.0022685968607573394,0.5,2,2007.3424919201002,1,1,0.0,0.0,0.0,8.318005245730092,13.221011029361753,brar
ETH/USD,30,-0.010208943197121699,-1.1618988203753038,0.013191130471177256,0.625,24,23893.173041424212,15,9,0.0,0.0,0.0,-102.08943197121698,158.03183719890484,cci
ETH/USD,30,-0.028812135717888303,-2.805642666242088,0.02914085945824416,0.28888888888888886,45,44307.71555165251,13,32,0.0,0.0,0.0,-288.12135717888304,293.3817231195968,cfo
ETH/USD,30,-0.01817121095941184,-1.7505200488213226,0.021922114284670117,0.24,25,24637.213922597766,6,19,0.0,0.0,0.0,-181.71210959411837,163.2052618508058,gc
BTC/USD,60,-0.004075215637324072,-0.35541518944911116,0.009501973274940026,0.5384615384615384,13,12909.402918086322,7,6,0.0,0.0,0.0,-40.75215637324072,85.33654137540145,ao
BTC/USD,60,-0.024286607432898198,-1.9046018593398162,0.024286607432898198,0.25806451612903225,31,30362.5811409262,8,23,0.0,0.0,0.0,-242.866074328982,201.1944935753985,apo
BTC/USD,60,-0.005112753870311462,-0.4184706859618989,0.007910241322977261,0.4,10,9926.475645784269,4,6,0.0,0.0,0.0,-51.127538703114624,65.68346013989647,bias
BTC/USD,60,-0.1272812861198272,-8.956228354242919,0.12818551671779468,0.12755102040816327,196,182021.4312947606,25,171,0.01302901631205475,873.3844736590157,0.0041614236922524256,-1272.812861198272,1208.4238977504492,bos
BTC/USD,60,-0.00034132887076975747,-0.05183995216241487,0.004056516554548954,0.6666666666666666,3,2995.5071584538696,2,1,0.0,0.0,0.0,-3.413288707697575,19.781611098530945,brar
BTC/USD,60,-0.008599451207630955,-0.8392538676417638,0.011156653009799084,0.6190476190476191,21,20804.025753004094,13,8,0.014784660552922812,991.0719785725172,0.002941475705146323,-85.99451207630955,140.86088938896816,cci
BTC/USD,60,-0.031358802695424313,-2.563138672016352,0.03270691835194291,0.38461538461538464,52,50801.55812893594,20,32,0.014425089498949677,966.9685644546929,0.0013862953944518742,-313.5880269542431,339.5161204026266,cfo
BTC/USD,60,-0.015364779498855386,-1.1908255895696442,0.01885555963180216,0.24,25,24657.949822456492,6,19,0.0,0.0,0.0,-153.64779498855387,163.24950655167513,gc
ETH/USD,60,-0.01769669647231858,-1.2491011719302147,0.01793944139370069,0.3125,16,15660.05391829201,5,11,0.0,0.0,0.0,-176.9669647231858,103.94034684431377,ao
ETH/USD,60,-0.022654487580975182,-1.6459436971722488,0.0229733881963319,0.17857142857142858,28,27458.619781295416,5,23,0.0,0.0,0.0,-226.54487580975183,181.97448864672182,apo
ETH/USD,60,-0.009685283926501143,-0.682942789266435,0.012466424065803006,0.45454545454545453,11,10861.279761470749,5,6,0.0,0.0,0.0,-96.85283926501143,72.00406079528146,bias
ETH/USD,60,-0.14499328326387295,-8.919799232122523,0.14526624242678898,0.1346153846153846,208,191059.9922539406,28,180,0.34464540772206664,854.9239519412813,0.003203015363958827,-1449.9328326387295,1268.6019762651215,bos
ETH/USD,60,-0.0059512816386923075,-0.561794141273625,0.009145960382320264,0.5,4,3932.6618218035687,2,2,0.0,0.0,0.0,-59.51281638692308,26.1519603179804,brar
ETH/USD,60,-0.012270760685940513,-0.8751423401804126,0.01505909177139477,0.6818181818181818,22,21745.867439876354,15,7,0.3971731740059716,985.223803707473,0.00048399001367282796,-122.70760685940513,147.17889875805463,cci
ETH/USD,60,-0.03485768465393485,-2.4101446974263943,0.036084422557549165,0.42,50,48784.56901194798,21,29,0.3810960013434881,945.3429299726432,-0.01950639145592382,-348.5768465393485,326.2480907413461,cfo
ETH/USD,60,-0.021025213377278487,-1.4119651374269533,0.022776929543222506,0.23076923076923078,26,25539.09855338685,6,20,0.0,0.0,0.0,-210.25213377278487,169.25188249380344,gc
